Messstelle:                ;Matreier Tauernhaus
HZB-Nummer:                ;212076
HD-Nummer:                 ;
DBMS-Nummer:               ;7001131
Gewässer:                  ;Tauernbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1930              ;01503,55
   01.01.1972              ;01502,55
   01.01.1976              ;01502,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;386424,00 - 220238,00
Exportzeitreihe:           ;(7001131,Abfluss,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[24.01.1951 12:00,01.01.2019 00:00]
Werte:
15.07.1991 02:15:00;  42,0
03.08.1991 07:15:00;  65,5
30.09.1991 20:00:00;  12,4
01.10.1991 01:45:00;  10,5
05.11.1991 01:45:00; 0,989
23.12.1991 06:30:00;  2,46
01.01.1992 00:00:00; 0,360
01.02.1992 00:00:00; 0,288
06.03.1992 01:00:00; 0,368
29.04.1992 01:45:00;  4,95
31.05.1992 22:15:00;  15,3
20.06.1992 15:15:00;  26,9
29.07.1992 22:30:00;  33,0
30.08.1992 03:15:00;  39,4
01.09.1992 02:00:00;  32,4
05.10.1992 18:45:00;  17,1
23.11.1992 13:00:00;  2,10
01.12.1992 01:00:00; 0,696
01.01.1993 00:00:00; 0,328
01.02.1993 00:00:00; 0,266
21.03.1993 20:15:00; 0,917
27.04.1993 21:15:00;  6,19
27.05.1993 20:15:00;  20,4
23.06.1993 00:30:00;  29,7
19.07.1993 23:00:00;  33,9
23.08.1993 09:00:00;  24,9
14.09.1993 05:15:00;  30,0
14.10.1993 13:30:00;  22,8
07.11.1993 16:45:00;  1,34
01.12.1993 00:00:00; 0,482
08.01.1994 17:30:00; 0,321
07.02.1994 15:15:00; 0,221
25.03.1994 19:00:00;  2,78
30.04.1994 19:30:00;  5,72
25.05.1994 17:30:00;  19,6
26.06.1994 18:00:00;  27,8
06.07.1994 23:00:00;  37,2
11.08.1994 23:30:00;  26,4
08.09.1994 20:30:00;  35,7
03.10.1994 07:00:00;  8,49
20.11.1994 14:00:00;  4,49
11.12.1994 14:15:00;  2,90
02.01.1995 12:00:00; 0,378
01.02.1995 00:00:00; 0,187
26.03.1995 00:00:00; 0,209
23.04.1995 19:15:00;  3,19
27.05.1995 19:30:00;  17,2
26.06.1995 05:30:00;  32,3
03.07.1995 20:45:00;  40,4
08.08.1995 22:00:00;  25,7
08.09.1995 21:30:00;  16,2
01.10.1995 23:45:00;  5,86
01.11.1995 03:15:00; 0,830
01.12.1995 00:15:00; 0,408
01.01.1996 00:00:00; 0,269
01.02.1996 00:00:00; 0,211
25.03.1996 23:00:00; 0,416
23.04.1996 22:15:00;  4,49
19.05.1996 21:15:00;  18,8
12.06.1996 16:00:00;  25,2
08.07.1996 06:45:00;  54,6
28.08.1996 09:30:00;  35,9
05.09.1996 11:00:00;  5,49
16.10.1996 00:15:00;  19,4
14.11.1996 05:45:00;  2,84
01.12.1996 00:00:00; 0,538
01.01.1997 00:00:00; 0,269
01.02.1997 00:00:00; 0,188
11.03.1997 19:45:00; 0,886
28.04.1997 22:00:00;  1,06
19.05.1997 18:45:00;  14,6
27.06.1997 20:15:00;  39,5
29.07.1997 01:00:00;  25,9
29.08.1997 01:15:00;  26,7
07.09.1997 14:45:00;  18,8
11.10.1997 00:45:00;  16,9
07.11.1997 07:45:00;  12,7
01.12.1997 00:00:00; 0,526
01.01.1998 00:00:00; 0,440
28.02.1998 23:59:55; 0,436
31.03.1998 20:45:00;  1,70
27.04.1998 17:00:00;  5,45
12.05.1998 18:15:00;  13,2
06.06.1998 18:15:00;  27,2
14.07.1998 02:00:00;  44,5
15.08.1998 18:15:00;  45,0
12.09.1998 09:00:00;  48,9
07.10.1998 10:15:00;  24,3
09.11.1998 19:00:00;  4,92
15.12.1998 01:35:25; 0,855
01.01.1999 00:00:00; 0,239
01.02.1999 12:16:45; 0,168
31.03.1999 23:59:55; 0,431
29.04.1999 18:30:00;  3,67
31.05.1999 19:15:00;  20,0
03.06.1999 03:00:00;  35,4
06.07.1999 20:45:00;  33,6
16.08.1999 19:15:00;  49,0
20.09.1999 23:30:00;  58,4
03.10.1999 21:45:00;  11,7
01.11.1999 00:00:00;  1,57
01.12.1999 00:00:00; 0,535
01.01.2000 00:00:00; 0,295
01.02.2000 00:00:00; 0,236
09.03.2000 23:45:00;  2,17
28.04.2000 22:00:00;  7,35
28.05.2000 18:30:00;  16,7
16.06.2000 01:45:00;  27,7
04.07.2000 18:30:00;  41,0
03.08.2000 21:15:00;  32,2
21.09.2000 03:15:00;  46,0
15.10.2000 23:30:00;  19,7
14.11.2000 19:15:00;  9,59
01.12.2000 00:00:00; 0,688
01.01.2001 00:00:00; 0,449
01.02.2001 00:00:00; 0,239
25.03.2001 01:18:30;  1,02
30.04.2001 22:20:15;  3,42
30.05.2001 20:19:05;  34,7
10.06.2001 22:14:10;  45,1
07.07.2001 17:27:55;  40,2
05.08.2001 01:19:10;  44,3
01.09.2001 00:00:00;  13,1
21.10.2001 10:59:30;  6,05
02.11.2001 12:51:45; 0,774
01.12.2001 00:00:00; 0,342
01.01.2002 00:00:00; 0,249
01.02.2002 00:00:00; 0,202
21.03.2002 18:45:05;  1,69
26.04.2002 20:03:10;  2,70
18.05.2002 19:15:50;  15,4
20.06.2002 17:00:00;  27,3
04.07.2002 02:43:55;  27,1
12.08.2002 04:39:10;  88,5
01.09.2002 18:26:25;  49,7
17.10.2002 19:46:30;  8,72
16.11.2002 18:28:10;  20,8
01.12.2002 00:00:00;  1,23
01.01.2003 00:00:00; 0,378
01.02.2003 00:00:00; 0,275
30.03.2003 19:25:45;  1,54
30.04.2003 21:35:25;  12,6
31.05.2003 23:59:55;  18,4
13.06.2003 21:15:55;  50,0
17.07.2003 18:53:40;  37,1
29.08.2003 20:47:10;  48,1
10.09.2003 04:02:30;  18,5
04.10.2003 05:29:40;  9,00
